,Is_Construction_Phase,Year_Index_Operational,Sim_Year_Operational,Inflation_Factor_Operational,Degradation_Factor_Operational,Production_kWh,Consommation_kWh,Autoconsommation_kWh,Surplus_kWh,Tarif_OA_Annuel,Prix_Autoconso_Annuel,Revenus_Surplus,Revenus_Autoconsommation,Prime_Autoconso_Encaissee,Revenus_Total,OPEX_Maintenance_Mensuel,OPEX_Assurance_Mensuel,OPEX_Admin_Mensuel,OPEX_Provision_Onduleur_Mensuel,OPEX,TURPE,Amortissement,EBITDA,EBIT,Interets_Payes,Principal_Rembourse,Service_Dette,EBT,Tax_Payment,Solde_IS_N_1_Paye_Mois,Total_IS_Decaisse_Mois,Resultat_Net,VAT_Collectee,VAT_Deductible_CAPEX,VAT_Deductible_OPEX_TURPE,VAT_Due_Mois,VAT_Payment,BFR_Mensuel,Delta_BFR_Mensuel,CAPEX_Initial_Mensuel,Debt_Drawn_This_Month,Solde_Dette_Fin_Mois,FCFE,OCF_Projet,Solde_Tresorerie_Fin_Mois
2025-01-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,513.4875000000001,100000.0,0.0,0.0,-99775.2838888889,-100132.96861111111,224.71611111110542
2025-02-28,0.0,0.0,1.0,1.0,1.0,4277.777777777777,2333.333333333333,2333.333333333333,1944.4444444444446,0.0761,0.15,147.97222222222223,349.99999999999994,0.0,497.9722222222222,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,422.2944444444444,-411.03888888888895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.59444444444443,0.0,15.135555555555555,84.45888888888888,84.45888888888888,460.1333333333332,-53.354166666666856,0.0,0.0,0.0,802.2286111111114,391.1897222222224,1026.9447222222168
2025-03-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,53.354166666666856,0.0,0.0,0.0,684.8494444444443,327.16472222222205,1711.794166666661
2025-04-30,0.0,0.0,1.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,20000.0,15.135555555555555,-19908.42722222222,-19908.42722222222,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,20759.545277777775,20384.075833333332,22471.339444444435
2025-05-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,23191.758333333324
2025-06-30,0.0,0.0,1.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,23951.303611111103
2025-07-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,24671.722499999993
2025-08-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,0.0,0.0,0.0,0.0,738.2036111111112,380.5188888888889,25409.926111111105
2025-09-30,0.0,0.0,1.0,1.0,1.0,4583.333333333334,2500.0,2500.0,2083.3333333333335,0.0761,0.15,158.54166666666669,375.0,0.0,533.5416666666667,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,457.863888888889,-375.4694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70833333333336,0.0,15.135555555555555,91.5727777777778,91.5727777777778,495.70277777777784,-17.78472222222223,0.0,0.0,0.0,759.5452777777778,384.07583333333343,26169.471388888884
2025-10-31,0.0,0.0,1.0,1.0,1.0,4736.111111111111,2583.3333333333335,2583.3333333333335,2152.777777777778,0.0761,0.15,163.82638888888889,387.5,0.0,551.3263888888889,11.111111111111112,8.333333333333332,8.333333333333332,0.0,27.777777777777775,47.9,833.3333333333334,475.6486111111111,-357.68472222222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.26527777777778,0.0,15.135555555555555,95.12972222222223,95.12972222222223,513.4875000000001,17.78472222222223,0.0,0.0,0.0,720.4188888888889,362.7341666666666,26889.890277777773
