date,production_kwh,consumption_kwh,autoconsumption_kwh,surplus_kwh,deficit_kwh,autoconsumption_rate,autoproduction_rate
2024-04-13,953.855773140546,810.4733864708935,810.4733864708935,143.38238666965253,0.0,0.8496812718367582,1.0
2024-04-14,1074.247901286265,787.436762788016,787.436762788016,286.81113849824897,0.0,0.7330121491000059,1.0
2024-04-15,1058.1400401265826,755.9321725683611,755.9321725683611,302.20786755822144,0.0,0.714397096699914,1.0
2024-04-16,1053.57809794789,739.3275321396154,739.3275321396154,314.2505658082746,0.0,0.7017301646452626,1.0
2024-04-17,1133.601636805264,764.1664481755691,764.1664481755691,369.43518862969484,0.0,0.6741049266029259,1.0
2024-04-18,1018.6495795905284,779.3096161999739,779.3096161999739,239.33996339055454,0.0,0.7650419062787389,1.0
2024-04-19,1098.532481062572,723.8976293172238,723.8976293172238,374.6348517453482,0.0,0.6589678883386525,1.0
2024-04-20,1107.3547132824983,781.4115292371996,781.4115292371996,325.9431840452987,0.0,0.7056560286097351,1.0
2024-04-21,1136.1865611342246,744.9808918651119,744.9808918651119,391.2056692691127,0.0,0.6556853578002343,1.0
2024-04-22,1027.1520646485374,806.5040361351843,806.5040361351843,220.6480285133531,0.0,0.7851846517108909,1.0
2024-04-23,1184.5852796885406,764.7720289678606,764.7720289678606,419.81325072068,0.0,0.6456031845752294,1.0
2024-04-24,1127.1207528558111,706.1563728056752,706.1563728056752,420.9643800501359,0.0,0.6265135044461483,1.0
2024-04-25,1071.122394962893,755.1550755952662,755.1550755952662,315.9673193676267,0.0,0.7050128716816039,1.0
2024-04-26,1178.1706175888337,737.2468692354356,737.2468692354356,440.9237483533981,0.0,0.6257556063859718,1.0
2024-04-27,1209.1028382611055,706.8793372831484,706.8793372831484,502.2235009779571,0.0,0.5846312777660505,1.0
2024-04-28,1210.2025317389405,718.5421047122993,718.5421047122993,491.6604270266412,0.0,0.5937370695133366,1.0
2024-04-29,1279.3734560867854,765.9711849738221,765.9711849738221,513.4022711129633,0.0,0.5987080483260104,1.0
2024-04-30,1204.0026307260157,661.7118179920686,661.7118179920686,542.2908127339471,0.0,0.5495933323609561,1.0
2024-05-01,1264.4369073518742,665.821394975952,665.821394975952,598.6155123759222,0.0,0.5265754195441747,1.0
2024-05-02,1257.4702315954346,674.4654384301593,674.4654384301593,583.0047931652753,0.0,0.5363669226383363,1.0
2024-05-03,1292.5372365025526,659.4129988269439,659.4129988269439,633.1242376756087,0.0,0.5101694405425677,1.0
2024-05-04,1238.616334735346,629.6309434129126,629.6309434129126,608.9853913224334,0.0,0.5083341190938235,1.0
2024-05-05,1326.4936193014453,618.0738550000409,618.0738550000409,708.4197643014044,0.0,0.46594559220385046,1.0
2024-05-06,1250.4663320935438,674.4605516926283,674.4605516926283,576.0057804009155,0.0,0.5393672219574592,1.0
2024-05-07,1376.2513467688716,657.2210723785402,657.2210723785402,719.0302743903314,0.0,0.4775443627514315,1.0
2024-05-08,1381.2551832230115,638.20860617291,638.20860617291,743.0465770501015,0.0,0.4620497457129669,1.0
2024-05-09,1340.7938044065395,629.8240765731448,629.8240765731448,710.9697278333947,0.0,0.46973969785899833,1.0
2024-05-10,1314.9533958658337,630.0064667762771,630.0064667762771,684.9469290895566,0.0,0.47910935000205696,1.0
2024-05-11,1351.3693779873176,655.1362729756388,655.1362729756388,696.2331050116788,0.0,0.4847943749853026,1.0
2024-05-12,1331.299700269922,615.2225258265632,615.2225258265632,716.0771744433587,0.0,0.46212173389795436,1.0
2024-05-13,1370.558566058318,600.1913994881287,600.1913994881287,770.3671665701894,0.0,0.4379173676716783,1.0
2024-05-14,1495.8698176834264,600.0253948707647,600.0253948707647,895.8444228126617,0.0,0.4011213995880951,1.0
2024-05-15,1339.3423380616964,615.734525456292,615.734525456292,723.6078126054044,0.0,0.45972900875170297,1.0
2024-05-16,1451.6439833374297,588.9904136301778,588.9904136301778,862.6535697072519,0.0,0.4057402644111459,1.0
2024-05-17,1443.3340583199804,581.930620384057,581.930620384057,861.4034379359234,0.0,0.40318498481315934,1.0
2024-05-18,1477.1786984347943,573.9685273564621,573.9685273564621,903.2101710783322,0.0,0.3885572733783896,1.0
2024-05-19,1463.337459406433,550.9982390016492,550.9982390016492,912.3392204047839,0.0,0.37653532031165804,1.0
2024-05-20,1423.049596262335,565.6032965309679,565.6032965309679,857.446299731367,0.0,0.39745859737885103,1.0
2024-05-21,1518.2801234051685,546.5348576692086,546.5348576692086,971.74526573596,0.0,0.359969711283219,1.0
2024-05-22,1579.507369639788,567.3923317191934,567.3923317191934,1012.1150379205947,0.0,0.3592210727377544,1.0
2024-05-23,1490.9565467394525,521.0194012935415,521.0194012935415,969.937145445911,0.0,0.3494531094369919,1.0
2024-05-24,1532.690088834945,562.3948362982472,562.3948362982472,970.2952525366978,0.0,0.3669331722016579,1.0
2024-05-25,1533.4806355834166,550.565541024133,550.565541024133,982.9150945592836,0.0,0.3590299924554763,1.0
2024-05-26,1573.2342566505695,527.729607313231,527.729607313231,1045.5046493373384,0.0,0.3354424842214994,1.0
2024-05-27,1577.0736790829678,468.5896464728894,468.5896464728894,1108.4840326100784,0.0,0.29712603329057113,1.0
2024-05-28,1654.5255959886601,487.5320130447575,487.5320130447575,1166.9935829439028,0.0,0.29466574238969884,1.0
2024-05-29,1582.946978038266,469.86867417955744,469.86867417955744,1113.0783038587085,0.0,0.296831593665798,1.0
2024-05-30,1577.4752859416385,580.4041193872768,580.4041193872768,997.0711665543618,0.0,0.3679323058559472,1.0
2024-05-31,1573.8657691558708,489.78528277768515,489.78528277768515,1084.0804863781857,0.0,0.311198891529598,1.0
2024-06-01,1586.0825705935501,520.1300723564906,520.1300723564906,1065.9524982370594,0.0,0.3279337923509527,1.0
2024-06-02,1586.9071780110653,502.8944500166948,502.8944500166948,1084.0127279943704,0.0,0.31690224670039785,1.0
2024-06-03,1678.7053211463679,491.3386631122471,491.3386631122471,1187.3666580341207,0.0,0.2926890484726157,1.0
2024-06-04,1648.19048587778,477.07170031125435,477.07170031125435,1171.1187855665257,0.0,0.2894517984413551,1.0
2024-06-05,1638.0431382908864,473.33422431434167,473.33422431434167,1164.7089139765449,0.0,0.2889632227929068,1.0
2024-06-06,1643.5349363282155,464.1707243650452,464.1707243650452,1179.3642119631704,0.0,0.2824221828846782,1.0
2024-06-07,1620.775139793584,450.66371791352117,450.66371791352117,1170.1114218800628,0.0,0.27805443633033267,1.0
2024-06-08,1655.6451114032543,528.3850570831905,528.3850570831905,1127.2600543200638,0.0,0.3191414956284646,1.0
2024-06-09,1719.1714062233762,457.918169915526,457.918169915526,1261.25323630785,0.0,0.2663598104632666,1.0
2024-06-10,1705.9329412845484,460.8381446794151,460.8381446794151,1245.0947966051333,0.0,0.27013848758463455,1.0
2024-06-11,1699.142652869183,448.19942318523493,448.19942318523493,1250.943229683948,0.0,0.2637797494097406,1.0
2024-06-12,1699.4506177167534,464.674892179347,464.674892179347,1234.7757255374063,0.0,0.27342653404289397,1.0
2024-06-13,1787.3229862549022,403.8632358947138,403.8632358947138,1383.4597503601883,0.0,0.2259598511296246,1.0
2024-06-14,1668.8456025057305,434.9985694091397,434.9985694091397,1233.8470330965908,0.0,0.26065836693100913,1.0
2024-06-15,1742.6849276602359,467.31060290105466,467.31060290105466,1275.3743247591813,0.0,0.2681555314353211,1.0
2024-06-16,1730.3772845621183,428.0231211131882,428.0231211131882,1302.3541634489302,0.0,0.24735826396467164,1.0
2024-06-17,1746.794646754346,490.501813769782,490.501813769782,1256.292832984564,0.0,0.2808010745173539,1.0
2024-06-18,1743.8929471132615,492.1307336211885,492.1307336211885,1251.762213492073,0.0,0.28220237626158934,1.0
2024-06-19,1693.291230544437,444.6606930827104,444.6606930827104,1248.6305374617266,0.0,0.26260142677272386,1.0
